document,date,datetype,location
No-MM_N1966,1909-02,instance,N/A
No-MM_N1967,1905,instance,N/A
No-MM_N1968,1900%1900,fromTo,N/A
No-MM_N1969,1908-09,instance,N/A
No-MM_N1970,N/A,N/A,Oslo
No-MM_N1972,1895-03-22,instance,Paris
No-MM_N1975,1927%1927,fromTo,N/A
No-MM_N1976,1929-02,instance,N/A
No-MM_N1984,N/A,N/A,Hvitsten
No-MM_N1994,N/A,N/A,Oslo
No-MM_N1995,N/A,N/A,København
No-MM_N1997,1905,instance,N/A
No-MM_N1998,1905-12,instance,N/A
No-MM_N2004,1920-10,instance,N/A
No-MM_N2010,1911-04,instance,N/A
No-MM_N2022,1931.10%1931.11,fromTo,N/A
No-MM_N2025,1902,instance,N/A
No-MM_N2027,1914-09,instance,N/A
No-MM_N2028,1910-06,instance,N/A
No-MM_N2029,1908-05,instance,N/A
No-MM_N2031,1908-06,instance,N/A
No-MM_N2033,1912-03,instance,N/A
No-MM_N2036,1909-12,instance,N/A
No-MM_N2039,1889-11-25,instance,Paris
No-MM_N2040,1896,instance,N/A
No-MM_N2042,1896,instance,N/A
No-MM_N2043,1901.12%1902.01,fromTo,N/A
No-MM_N2044,1896,instance,N/A
No-MM_N2045,1893%1893,fromTo,N/A
No-MM_N2050,1896,instance,N/A
No-MM_N2054,1907-11,instance,N/A
No-MM_N2057,1908,instance,N/A
No-MM_N2079,1909-03,instance,N/A
No-MM_N2080,1927.12%1928.01,fromTo,N/A
No-MM_N2086,1907%1907,fromTo,N/A
No-MM_N2089,1907,instance,N/A
No-MM_N2126,1906-10,instance,N/A
No-MM_N2163,N/A,N/A,Oslo
No-MM_N2173,N/A,N/A,Berlin
No-MM_N2176,1894.10%1894.11,fromTo,N/A
No-MM_N2177,1894.10%1894.11,fromTo,N/A
No-MM_N2178,1905-05,instance,N/A
No-MM_N2179,N/A,N/A,Danmark
No-MM_N2181,1897,instance,N/A
No-MM_N2182,1929-08,instance,N/A
No-MM_N2184,1905-02,instance,N/A
No-MM_N2186,1903-10,instance,N/A
No-MM_N2187,1906-05,instance,N/A
No-MM_N2188,1906-05,instance,N/A
No-MM_N2189,1929-02,instance,N/A
No-MM_N2190,1929-02,instance,N/A
No-MM_N2191,N/A,N/A,Oslo
No-MM_N2192,1929-02,instance,N/A
No-MM_N2194,1908-04,instance,N/A
No-MM_N2195,1908.03%1908.04,fromTo,N/A
No-MM_N2196,1908,instance,N/A
No-MM_N2197,1907,instance,N/A
No-MM_N2200,1902%1902,fromTo,N/A
No-MM_N2201,1906-01,instance,N/A
No-MM_N2204,1905.12%1906.01,fromTo,N/A
No-MM_N2208,N/A,N/A,Bad Elgersburg
No-MM_N2209,1905.12%1906.01,fromTo,N/A
No-MM_N2211,1905-08,instance,N/A
No-MM_N2212,N/A,N/A,Oslo
No-MM_N2214,1896-03,instance,N/A
No-MM_N2217,1927.08%1927.10,fromTo,N/A
No-MM_N2220,1930.02%1930.04,fromTo,N/A
No-MM_N2222,1929-06,instance,N/A
No-MM_N2224,1929-06,instance,N/A
No-MM_N2225,1929-06,instance,N/A
No-MM_N2226,N/A,N/A,Oslo
No-MM_N2229,N/A,N/A,Oslo
No-MM_N2232,1927-03,instance,N/A
No-MM_N2234,1930-02,instance,N/A
No-MM_N2235,1927-06,instance,N/A
No-MM_N2239,1927-10,instance,N/A
No-MM_N2248,1913-01,instance,N/A
No-MM_N2251,1892-02,instance,N/A
No-MM_N2254,1908-03,instance,N/A
No-MM_N2255,1912-02,instance,N/A
No-MM_N2256,1929-07,instance,N/A
No-MM_N2261,1929-08,instance,N/A
No-MM_N2262,1929-08,instance,N/A
No-MM_N2263,1908-11,instance,N/A
No-MM_N2267,N/A,N/A,Oslo
